state,term,E,state_p,term_p,E_p,dip
"2s","2S0.5",0,"2p","2P0.5",14903.66, 3.3169
"2s","2S0.5",0,"3p","2P0.5",30925.38,0.183
"2s","2S0.5",0,"4p","2P0.5",36469.55,0.16
"2s","2S0.5",0,"5p","2P0.5",39015.56,0.1198
"2s","2S0.5",0,"6p","2P0.5",40390.84,0.0925
"2s","2S0.5",0,"7p","2P0.5",41217.35,0.0737
"2s","2S0.5",0,"2p","2P1.5",14904.00,4.6909
"2s","2S0.5",0,"3p","2P1.5",30925.38,0.259
"2s","2S0.5",0,"4p","2P1.5",36469.55,0.226
"2s","2S0.5",0,"5p","2P1.5",39015.56,0.169
"2s","2S0.5",0,"6p","2P1.5",40390.84,0.131
"2s","2S0.5",0,"7p","2P1.5",41217.35,0.1042
"2p","2P0.5",14903.66,"3s","2S0.5",27206.12,2.4326
"2p","2P0.5",14903.66,"4s","2S0.5",35012.06,0.6482
"2p","2P0.5",14903.66,"5s","2S0.5",38299.50,0.3485
"2p","2P0.5",14903.66,"6s","2S0.5",39987.64,0.2311
"2p","2P0.5",14903.66,"7s","2S0.5",40967.90,0.1695
"2p","2P0.5",14903.66,"3d","2D1.5",31283.08,5.0665
"2p","2P0.5",14903.66,"4d","2D1.5",36623.38,1.9291
"2p","2P0.5",14903.66,"5d","2D1.5",39094.93,1.1214
"2p","2P0.5",14903.66,"6d","2D1.5",40437.31,0.7682
"2p","2P0.5",14903.66,"7d","2D1.5",41246.50,0.5736
"2p","2P1.5",14904.00,"3s","2S0.5",27206.12,3.4403
"2p","2P1.5",14904.00,"4s","2S0.5",35012.06,0.9167
"2p","2P1.5",14904.00,"5s","2S0.5",38299.50,0.4929
"2p","2P1.5",14904.00,"6s","2S0.5",39987.64,0.3268
"2p","2P1.5",14904.00,"7s","2S0.5",40967.90,0.2397
"2p","2P1.5",14904.00,"3d","2D1.5",31283.08,2.2658
"2p","2P1.5",14904.00,"4d","2D1.5",36623.38,0.8627
"2p","2P1.5",14904.00,"5d","2D1.5",39094.93,0.5015
"2p","2P1.5",14904.00,"6d","2D1.5",40437.31,0.3435
"2p","2P1.5",14904.00,"7d","2D1.5",41246.50,0.2565
"2p","2P1.5",14904.00,"3d","2D2.5",31283.12,6.7975
"2p","2P1.5",14904.00,"4d","2D2.5",36623.40,2.5882
"2p","2P1.5",14904.00,"5d","2D2.5",39094.94,1.5045
"2p","2P1.5",14904.00,"6d","2D2.5",40437.32,1.0306
"2p","2P1.5",14904.00,"7d","2D2.5",41246.50,0.7696
"3s","2S0.5",27206.12,"3p","2P0.5",30925.38,8.467
"3s","2S0.5",27206.12,"4p","2P0.5",36469.55,0.0320
"3s","2S0.5",27206.12,"5p","2P0.5",39015.56,0.1544
"3s","2S0.5",27206.12,"6p","2P0.5",40390.84,0.138
"3s","2S0.5",27206.12,"7p","2P0.5",41217.35,0.1136
"3s","2S0.5",27206.12,"3p","2P1.5",30925.38,11.975
"3s","2S0.5",27206.12,"4p","2P1.5",36469.55,0.045
"3s","2S0.5",27206.12,"5p","2P1.5",39015.56,0.2184
"3s","2S0.5",27206.12,"6p","2P1.5",40390.84,0.195
"3s","2S0.5",27206.12,"7p","2P1.5",41217.35,0.1607
"3p","2P0.5",30925.38,"4s","2S0.5",35012.06,5.997
"3p","2P0.5",30925.38,"5s","2S0.5",38299.50,1.5216
"3p","2P0.5",30925.38,"6s","2S0.5",39987.64,0.8023
"3p","2P0.5",30925.38,"7s","2S0.5",40967.90,0.5284
"3p","2P0.5",30925.38,"3d","2D1.5",31283.08,11.701
"3p","2P0.5",30925.38,"4d","2D1.5",36623.38,7.765
"3p","2P0.5",30925.38,"5d","2D1.5",39094.93,3.235
"3p","2P0.5",30925.38,"6d","2D1.5",40437.31,1.9394
"3p","2P0.5",30925.38,"7d","2D1.5",41246.50,1.3511
"3p","2P1.5",30925.38,"3d","2D1.5",31283.08,5.233
"3p","2P1.5",30925.38,"4d","2D1.5",36623.38,3.473
"3p","2P1.5",30925.38,"5d","2D1.5",39094.93,1.4469
"3p","2P1.5",30925.38,"6d","2D1.5",40437.31,0.8673
"3p","2P1.5",30925.38,"7d","2D1.5",41246.50,0.6042
"3p","2P1.5",30925.38,"3d","2D2.5",31283.12,15.699
"3p","2P1.5",30925.38,"4d","2D2.5",36623.40,10.418
"3p","2P1.5",30925.38,"5d","2D2.5",39094.94,4.341
"3p","2P1.5",30925.38,"6d","2D2.5",40437.32,2.602
"3p","2P1.5",30925.38,"7d","2D2.5",41246.50,1.8126
"3d","2D1.5",31283.08,"4p","1P0.5",36469.55,1.960
"3d","2D1.5",31283.08,"5p","1P0.5",39015.56,0.7029
"3d","2D1.5",31283.08,"6p","1P0.5",40390.84,0.3984
"3d","2D1.5",31283.08,"7p","1P0.5",41217.35,0.2692
"3d","2D1.5",31283.08,"4p","1P1.5",36469.55,0.8764
"3d","2D1.5",31283.08,"5p","1P1.5",39015.56,0.3143
"3d","2D1.5",31283.08,"6p","1P1.5",40390.84,0.1782
"3d","2D1.5",31283.08,"7p","1P1.5",41217.35,0.1204
"3d","2D2.5",31283.12,"4p","1P1.5",36469.55,2.629
"3d","2D2.5",31283.12,"5p","1P1.5",39015.56,0.9430
"3d","2D2.5",31283.12,"6p","1P1.5",40390.84,0.5345
"3d","2D2.5",31283.12,"7p","1P1.5",41217.35,0.3612
